"id","kategorie","frage","option_a","option_b","option_c","option_d","option_e","richtig","erklaerung","is_free","mehrfach"
"27","Erste Hilfe","Welche Lagerung bezeichnet man als Schocklagerung?","Rückenlagerung mit Knierolle.","Flachlagerung mit erhöhtem Oberkörper.","Flachlagerung mit erhöhten Beinen.","Seitenlagerung mit angezogenen Beinen.","","c","","0","0"
"28","Erste Hilfe","Welcher Begriff / Umstand gehört nicht zur HLW?","Harte Unterlage","Atemstillstand","Kreislaufstillstand","Oberkörper Hochlagerung","","d","","0","0"
"29","Erste Hilfe","Eine Person hat eine Schädel-Hirn-Verletzung erlitten. Sie ist bei Bewusstsein und die Atmung ist ausreichend vorhanden. Wie soll die verletzte Person gelagert werden?","Die Person in Rückenlage bringen.","Die Person mit erhöhtem Oberkörper lagern.","Die Person flach in der Seitenlage lagern.","Die Person in die Schocklage bringen.","","b","","0","0"
"30","Erste Hilfe","Welche Maßnahme ist vordringlich bei einer offenen Fraktur durchzuführen?","Den Bruch wieder einrichten.","Den Patienten in Schocklage legen.","Die Wunden möglichst keimfrei bedecken.","Eine Infusion anlegen.","","c","","0","0"
"31","Erste Hilfe","Welches der nachfolgend genannten Verbandmittel ist nicht steril verpackt und darf nach dem Auspacken nicht direkt auf eine Wunde gebracht werden?","Verpackte Zellstoff-Mull-Kompresse.","Verpacktes Verbandpäckchen.","Verpacktes Verbandtuch.","Verpacktes Dreiecktuch.","","d","","0","0"
"32","Erste Hilfe","Nach einem Sturz aus großer Höhe hat eine ansprechbar verletzte Person eine offene Brustkorbverletzung. Welches ist die richtige Erste-Hilfe-Maßnahme?","Die betroffene Person mit erhöhtem Oberkörper lagern und die Wunde steril bedecken.","Die Wunde sofort luftdicht verpacken, damit die Lunge nicht zusammenfällt.","Die betroffene Person sofort in die stabile Seitenlage bringen.","Der betroffenen Person zuerst Sauerstoff geben.","","a","","0","0"
"33","Erste Hilfe","Wie reagiert der menschliche Organismus, wenn ein Atem- und Kreislaufstillstand eingetreten ist? Welche Aussage ist richtig?","Die Haut und die Schleimhaut werden hellrot.","Die Haut und die Schleimhaut werden bläulich (zyanotisch).","Die Haut und die Schleimhaut werden heiß.","Die Haut und die Schleimhaut werden kalt.","","b","","0","0"
"34","Erste Hilfe","Warum darf einer unterkühlten Person kein Alkohol zu trinken gegeben werden? Welche Aussage ist zutreffend?","Alkohol verengt die Blutgefäße.","Alkohol führt zu aggressivem Verhalten.","Alkohol steigert die Körpertemperatur.","Alkohol erweitert die Blutgefäße.","","d","","0","0"
"35","Erste Hilfe","Wie weit soll der Brustkorb eines Erwachsenen bei der Herzdruckmassage komprimiert werden?","1-2 Zentimeter","2-3 Zentimeter","4-5 Zentimeter","5-6 Zentimeter","","d","","0","0"
"36","Erste Hilfe","Muss ein offener Knochenbruch immer steril bedeckt werden?","Wenn es möglich ist, dann ja.","Nur wenn die Knochenenden sichtbar sind.","Nur wenn Infektionsgefahr besteht.","Nicht, wenn die Wunde bereits desinfiziert wurde.","","a","","0","0"
"37","Erste Hilfe","Wie lagern Sie eine verletzte Person, die eine offene Bauchverletzung hat?","Person in Schocklage bringen.","Person in Rückenlage mit erhöhtem Kopf lagern.","Person in Rückenlage legen und mit einer Knierolle versorgen.","Person in Bauchlage lagern.","","c","","0","0"
"38","Erste Hilfe","Welche Maßnahmen ergreifen Sie bei Nasenbluten?","Kopf nach hinten in den Nacken legen lassen.","Den betroffenen Nasenflügel mit den Fingern zudrücken, anschließend Nacken kühlen.","Salbe in die Nasenlöcher schmieren (Nasentamponade).","Kältetherapie im Nacken und auf der Stirn durchführen.","","b","","0","0"
"39","Erste Hilfe","Welche Gefahren birgt jede offene Wunde primär?","Blutung, Infektion, Schmerz.","Infektion, Schock, zusätzliches Nasenbluten.","Atemstillstand, Herzkreislaufversagen, Schock.","Es gibt keine primären Gefahren.","","a","","0","0"
"40","Erste Hilfe am Hund","Bei welchem Notfall muss unverzüglich ein Tierarzt aufgesucht werden?","Bei einem Zeckenbiss.","Bei einer vermuteten Vergiftung.","Bei Zahnfleischbluten.","Wenn der Hunde sich stark am Ohr kratzt.","","b","","1","0"
"41","Erste Hilfe am Hund","Bei welchem Notfall muss unverzüglich ein Tierarzt aufgesucht werden?","Wenn der Hund „Schlitten fährt“, weil die Analdrüse platzen könnte.","Bei Verdacht auf eine Magendrehung.","Bei Zahnfleischbluten.","Bei Durchfall.","","b","","1","0"
"42","Erste Hilfe am Hund","Gegen welche Krankheiten kann und sollte ein Hund geimpft werden?","Gegen Tetanus, Meningitis und Hepatitis","Gegen die Aujeszky´sche Krankheit und Tollwut.","Gegen Staupe, Hepatitis, Parvovirose, Leptospirose und Tollwut.","Gegen Durchfallerkrankungen.","","c","","1","0"
"43","Erste Hilfe am Hund","Wo wird beim Hund der Puls gefühlt?","Am größten Blutgefäß des Ohrgrundes.","An der Oberschenkelinnenseite.","An der Halsschlagader.","An der Rutenwurzel.","","b","","1","0"
"44","Erste Hilfe am Hund","Wie hoch ist die durchschnittliche Pulsfrequenz eines mittelgroßen Hundes in Ruhe?","70 – 100","15 – 30","30 – 60","100 - 130","","a","","1","0"
"45","Erste Hilfe am Hund","Wie viele Atemzüge in der Minute macht ein mittelgroßer Hund im Ruhezustand?","50 – 60","10 – 40","30 – 50","10 – 20","","b","","0","0"
"46","Erste Hilfe am Hund","Welche Körperkerntemperatur haben erwachsene, gesunde Hunde?","35 – 36 ° C","36 – 37 ° C","38 – 39 ° C","39 – 40 ° C","","c","","0","0"
"47","Erste Hilfe am Hund","Wie sollten die Schleimhäute an nicht pigmentierten Stellen beim gesunden Hund aussehen?","Hochrot, feucht, glattglänzend, ohne Auflagerungen.","Bläulich, glänzend, ohne Auflagerungen.","Porzellanweiß, trocken, mit grauen Auflagerungen.","Blass rosa-rot, feucht, glattglänzend ohne Auflagerungen.","","d","","0","0"
"48","Erste Hilfe am Hund","Wann erhöht sich die Herzfrequenz des Hundes?","Bei tiefen Außentemperaturen.","Bei körperlicher Ruhe.","Bei Aufregung.","Im Tiefschlaf.","","c","","0","0"
"49","Erste Hilfe am Hund","Wann kann die Atemfrequenz des Hundes nicht ermittelt werden?","Im Tiefschlaf, da sie dann abfällt","Wenn der Hund hechelt, da sie dann nicht aussagekräftig ist","Während des Streichelns, da sie dann ansteigt","Bei körperlicher Ruhe, da sie dann nicht aussagekräftig ist","","b","","0","0"
"50","Erste Hilfe am Hund","Was ist bei einem bewusstlosen Hund zu tun?","Hund in die Seitenlage nach rechts bringen, Kopf zur Brust beugen und diesen erhöht lagern.","Hund mit kaltem Wasser abduschen.","Dem Hund intensiv riechende Leckerbissen vor die Nase halten.","Die Maulhöhle des Hundes auf Fremdkörpern kontrollieren und ggf. diese entfernen, den Kopf strecken und Hund in Seitenlage lagern.","","d","","0","0"
"51","Erste Hilfe am Hund","Was sind Anzeichen einer Magendrehung?","Zunehmend schwere Atmung, Speicheln, Hecheln, Anzeichen von Bauchschmerzen, Zunahme des Leibumfanges.","Erbrechen von Magensäure.","Der Hund wälzt sich panisch am Boden, weil er so versucht die Drehung rückgängig zu machen.","Dauerhafter Durchfall","","a","","0","0"
"52","Erste Hilfe am Hund","Was sind Anzeichen eines Volumenmangelschocks beim Hund?","Ein langsamer Puls.","Erhebliches Zittern.","Ein flacher schneller Puls.","Feuchtes Fell.","","c","","0","0"
"53","Erste Hilfe am Hund","Welches Symptom deutet beim Hund auf einen Hitzschlag hin?","Ein langsamer Puls.","Kalter Körperschweiß.","Rote Schleimhäute, Bewusstseinstrübung, extremes Hecheln, erhöhte Puls- und Atemfrequenz.","Normale Körpertemperatur.","","c","","0","0"
"54","Erste Hilfe am Hund","Welche Maßnahme, ist bei Erstickungsanfällen durch Fremdkörper zu ergreifen?","Den Fang des Hundes auf Fremdkörper kontrollieren, ggf. vorsichtig entfernen, ggf. an der Beckengegend anheben und auf den Brustkorb klopfen.","Dem Hund kräftig auf die Magengegend drücken.","Dem Hund Wasser einflößen, damit der Fremdkörper abwärts getrieben wird.","Es sind keine Maßnahmen erforderlich, da sich der Fremdkörper nach kurzer Zeit auflöst.","","a","","0","0"
"55","Erste Hilfe am Hund","Welche Maßnahme ist bei einem Hitzschlag zu ergreifen?","Den Hund nicht bewegen.","Den Hund aus der Hitze bringen und für Abkühlung sorgen, Wasser anbieten und anschließend zum Tierarzt bringen.","Dem Hund mindestens 2 Liter Wasser einflößen, damit eine Kühlung von innen heraus erfolgt.","Den Hund in kaltem Wasser baden.","","b","","0","0"
"56","Erste Hilfe am Hund","Welches der nachfolgend aufgezählten Anzeichen ist kein Hinweis auf eine Erschöpfung des Hundes?","Nachlassende Konzentrationsfähigkeit.","Fanglecken, Grasfressen oder ähnliches.","Taumelnder Gang.","Anhaltendes Bellen.","","d","","0","0"
"57","Erste Hilfe am Hund","Welche Symptome sprechen für eine akute lebensbedrohliche Blutung in die Bauchhöhle nach einem Unfall?","Weiße Schleimhäute und Umfangszunahme des Bauches.","Futterverweigerung und Erbrechen.","Apathie und Absetzen von schwarz gefärbtem Kot (Melaena).","Starke Schmerzen und geschwollene Beine.","","a","","0","0"
"58","Erste Hilfe am Hund","Welche der aufgeführten Maßnahmen ist bei einer Vergiftung zutreffend?","Der Hund ist immer zum Erbrechen zu bringen.","Dem Hund Wasser anbieten ist immer gut.","Vitalfunktionen des Hundes überprüfen und nach Bedarf erhalten (Eigenschutz beachten). Den Tierarzt aufsuchen.","Beim eigenen Hund sind keine besonderen Schutzmaßnahmen zu ergreifen.","","c","","0","0"
"59","Erste Hilfe am Hund","Wodurch können Vergiftungserscheinungen hervorgerufen werden?","Der Hund hat zu viel gefressen.","Der Hund hat zu viel Wasser aufgenommen.","Der Hund hatte Kontakt zu Mineralöl oder zu alten Nadeln der Eibe.","Beim Wechsel der Futtermarke.","","c","","0","0"
"60","Erste Hilfe am Hund","Welche Aussage zu den Folgen einer Verbrennung ist zutreffend?","Ein Schock tritt nur bei großflächigen Verbrennungen auf.","Es kommt zu Blasenbildung und Infektionsgefahr.","Der Hund hat keine thermische Schmerzempfindung.","Eine Rötung der Haut kommt wegen des Felles beim Hund nicht vor.","","b","","0","0"
"61","Erste Hilfe am Hund","Welche Aussage zur Versorgung von Verbrennungen ist richtig?","Eine Kühlung ist nur bei Blasenbildung und schlimmer nötig.","5 Minuten kühlen der verbrannten Stelle reichen immer aus.","Verbrennungen in der Mundhöhle brauchen wegen des Speichels nicht gekühlt werden.","Die Wunden möglichst steril abdecken. Tücher möglichst immer feucht halten. Falls kein Wasser zur Hand sein sollte, können auch nichtalkoholische Getränke verwendet werden.","","d","","0","0"
"62","Erste Hilfe am Hund","Ein fremder unbekannter Hund hat sich an der Vorderpfote verletzt. Welche Maßnahmen führen Sie zuerst durch?","Ich beachte den Eigenschutz und binde dem Hund den Fang zu.","Ich drücke starke Blutungen kurzfristig ab bis ein Verband angelegt ist.","Ich polstere den Wundbereich großzügig mit Watte ab.","Ich decke die Wunde mit einer sterilen Wundauflage ab.","","a","","0","0"
"63","Erste Hilfe am Hund","Welche Aussage zu Bisswunden ist zutreffend?","Eine Bisswunde muss nicht kontrolliert werden, wenn der Hund ausreichend geimpft ist.","Kleine Bisswunden müssen nicht weiter behandelt werden.","Auch bei kleinen Bisswunden muss eine weitere Versorgung durchgeführt werden.","In der Regel brauchen Wunden bei Tieren nicht beobachtet werden.","","c","","0","0"
"64","Erste Hilfe am Hund","Welche Gefahr durch eine offene Wunde besteht beim Hund grundsätzlich nicht?","Tetanus.","Blutungsgefahr.","Gefahr eine bakteriellen Wundinfektion.","Leptospirose.","","d","","0","0"
"65","Erste Hilfe am Hund","Welche Maßnahme bei offenen Bauchhöhlenverletzungen ist richtig?","Die vorgefallenen Eingeweide durch einen Verband am Körper fixieren und den Hund zum Tierarzt bringen.","Die vorgefallenen Eingeweide zurückdrücken, steril abdecken und das Tier zum Tierarzt bringen.","Die vorgefallene Eingeweide mit Kochsalzlösung (NaCl), notfalls mit Wasser, abspülen. Danach diese steril bedecken, feucht halten und den Hund zum Tierarzt bringen.","Die vorgefallene Eingeweide abtrocknen, steril bedecken, mit einer Wärmflasche wärmen und den Hund zum Tierarzt bringen.","","c","","0","0"
"66","Erste Hilfe am Hund","Welche der nachfolgenden Maßnahmen muss bei Aufnahme von Xylit durchgeführt werden?","Es müssen sofort die Vitalfunktionen des Hundes geprüft werden.","Dem Hund muss sofort Honig oder Zucker gegeben werden, um eine lebensbedrohliche Unterzuckerung zu vermeiden.","Xylit ist ein Zuckerersatzstoff und für Hunde ungefährlich.","Wenn der Hund Durchfall oder Erbrechen zeigt ist unverzüglich ein Tierarzt aufzusuchen.","","b","","0","0"
"67","Erste Hilfe am Hund","Welche Maßnahme bei offenen Knochenbrüchen ist richtig?","Die herausgetretenen Knochenenden steril abdecken. Bei längerem Transport diese feucht halten.","Den Bruch auf jeden Fall mit einer Schiene ruhigstellen.","Offene Brüche müssen immer ausgerichtet werden.","Den offenen Bruch sofort auswaschen.","","a","","0","0"
"68","Erste Hilfe am Hund","Welches Verhalten bei Verletzungen durch festhakenden Fremdkörper im Ohr ist richtig?","Den Fremdkörper im Ohr mit Kamillenlösung sofort herausspülen.","Den Fremdkörper im Ohr mit Pinzette immer sofort entfernen.","Warten bis der Hund den Fremdkörper selbstständig aus dem Ohr geschüttelt  hat.","Den Hund am Schütteln hindern und zum Tierarzt bringen.","","d","","0","0"
"69","Erste Hilfe am Hund","Warum verlaufen Schusswunden oft tödlich?","Weil Schusswunden meist infizierte Wunden sind.","Weil die Vergiftungsgefahr durch das Blei der Geschosse hoch ist.","Weil eine solche Verletzung oft einen hochgradigen Schock auslöst.","Weil bei einem Steckschuss die Kugel im Körper bleibt und dadurch immer einen Herz -Kreislauf-Stillstand auslöst.","","c","","0","0"
"70","Kynologie","Welche Umweltsituationen sollte ein Welpe kennenlernen?","Der Welpe sollte möglichst viele Umweltsituationen kennenlernen","Der Welpe sollte mit wenig Umweltreizen konfrontiert werden, weil er noch zu jung ist.","Der Welpe sollte so wenig wie möglich von der Umwelt kennen lernen, damit er wesensfester wird.","Das Kennenlernen von Umweltsituationen ist für die Entwicklung des Welpen unwesentlich.","","a","","1","0"
"71","Kynologie","Wie erzieht man Welpen bei Untugenden?","Man schüttelt seinen Nacken kräftig durch, bis der Welpe winselt.","Man lobt ihn, wenn er das macht, was man von ihm möchte und ignoriert oder beendet Fehlverhalten.","Man führt einen Schnauzengriff aus und wendet sich ab.","Man tadelt ihn lautstark und sperrt ihn in die Hundebox.","","b","","1","0"
"72","Kynologie","Zeigt ein vom Züchter gut sozialisierter Welpe automatisch feste Personenbindung?","Nein, er freut sich über jeden Menschen.","Ja, Hunde sind von Natur aus treu.","Ja, er hat einen natürlichen Beschützerinstinkt.","Ja, Hunde sind automatisch an bestimmte Personen gebunden.","","a","","1","0"
"73","Kynologie","Lernt ein Welpe besser über positive Verstärkung oder über Strafe?","Über beide Möglichkeiten, wobei Strafe überwiegen sollte.","Lernen ist weder von positiver Verstärkung noch Strafe abhängig.","Er lernt besser über positive Verstärkung.","Er lernt besser über Strafe.","","c","","1","0"
"74","Kynologie","Wie sollte man seinen Hund nicht bestrafen?","Man wendet sich von dem Hund ab und entfernt sich.","Man stellt die Kommunikation mit dem Hund kurzzeitig vollständig ein.","Durch ein klares „Nein“.","Durch einen Alphawurf.","","d","","1","0"
"75","Kynologie","Wie lernt ein Hund sicher mit Kindern umzugehen?","Durch umfangreiche Sozialisation mit Kindern unterschiedlicher Altersstufen während der Welpenzeit .","Der Hund hat von Geburt an eine gute Beziehung zu Kindern.","Man trifft sich regelmäßig mit Kindern, damit diese durch dauerhaftes und aufgeregtes Spiel mit dem Welpen dessen Reizschwelle steigern.","Durch Betätigen eines „Stromimpulsgerätes“ mit Fernbedienung, wenn Kinder in der Nähe sind.","","a","","0","0"
"76","Kynologie","Sie gehen mit ihrem angeleinten Hund spazieren. Welche Richtung sollte man einschlagen?","Man folgt seinem Hund dorthin wo er möchte.","Man wartet, in welche Richtung sich der Hund in Bewegung setzt.","Man bestimmt die Richtung und agiert.","Man reagiert grundsätzlich auf die Beschwichtigungssignale seines Hundes und wählt danach die Richtung.","","c","","0","0"
"77","Kynologie","Wie lange sollte man mit seinem Hund Sitz, Platz etc. üben?","Man übt solange, bis er keine Lust mehr hat.","Man gestaltet kurze Übungsintervalle, ggf. aber mehrmals täglich.","Man übt solange, bis der Hund es verstanden hat, auch wenn es Stunden dauert.","Man übt solange, bis der Hund auf dem Rücken liegt und aufgibt.","","b","","0","0"
"78","Kynologie","Beim Spaziergang mit Ihrem Hund kommt Ihnen ein Hundehalter mit angeleintem Hund entgegen. Wie verhalten Sie sich?","Ich reiße meinen Hund mehrmals kräftig an der Leine zurück.","Da ich den anderen Hund nicht einschätzen kann, behalte ich meinen Hund bei mir und leine ihn ebenfalls an.","Ich nehme Rufkontakt auf und erkläre, dass mein Hund nur spielen will.","Ich lasse meinen Hund von der Leine, damit die Hunde die Rangordnung selbst klären können.","","b","","0","0"
"79","Kynologie","Wie kann sich häufiges und hartes Bestrafen auf einen Hund auswirken?","Der Hund wird gehorsamer.","Der Hund wird völlig verunsichert, wodurch seine Schwelle zum Wehrtrieb stark herabgesetzt werden kann.","Der Hund wird ruhiger reagieren.","Das Verhältnis von Hundeführer und Hund wird immer besser.","","b","","0","0"
"80","Kynologie","Kann Futter in der Tasche der Hundehalterin dazu führen, dass der Hund Artgenossen gegenüber aggressiv wird?","Nein, da der Hund bei Futter nie Aggressionen zu anderen Hunden zeigt.","Ja, da der Hund Futter verteidigen könnte.","Ja, aber nur, wenn der Hund dazu ausgebildet wurde.","Nein, da Rettungshunde ein ruhiges Wesen haben.","","b","","0","0"
"81","Kynologie","Wie lernt ein Hund am besten?","Der Hund lernt ausnahmslos über positive Verstärkung, ohne Strafe.","Der Hund lernt über positive Verstärkung und Setzen von klaren Grenzen.","Der Hund lernt über ausnahmslose Härte.","Der Hund lernt über einen demokratischen Umgang.","","b","","0","0"
"82","Kynologie","Kann auch ein älterer Hund noch lernen?","Hündinnen nach der letzten Läufigkeit nicht mehr.","Nein, Hunde lernen nur, wenn sie jung sind.","Nur wenn der Hund gut sozialisiert ist.","Hunde können in jedem Alter etwas lernen.","","d","","0","0"
"83","Kynologie","Ihr angeleinter Hund will gerade einen anderen Hund, der ebenfalls von seinem Halter angeleint geführt wird, knurrend und zähnebleckend anspringen. Wie sollten Sie sich verhalten?","Man nimmt das kurze Ende der Leine und zieht es dem eigenen Hund über den Rücken.","Man spricht seinen Hund an, dass er brav sein soll.","Man vermittelt seinem Hund ein klares Nein, unterbricht die Aggression ggf. durch Blickkontakt und fordert ihn zu einem Alternativverhalten, z.B. Sitz auf.","Man lässt den Hund bis auf ca. 20 Zentimeter an den anderen Hund und beobachtet vorsichtig, wie sich beide Hunde weiter verhalten.","","c","","0","0"
"84","Kynologie","Ein junger Hund zwickt regelmäßig seine Hundeführerin beim Spaziergang in die Waden. Was bedeutet das?","Der Hund fordert ihn zum Spielen auf.","Das ist kein ernst zu nehmendes Verhalten.","Der Hund will mitteilen, dass er Hunger hat.","Es handelt sich um eine Einzelsequenz aus dem Jagdverhalten, die unterbunden werden muss.","","d","","0","0"
